Balance sheet (VND Bn),4Q23,1Q24,2Q24,3Q24,4Q24,FY23,FY24,FY24 vs. FY23,4Q24 vs. 3Q24,4Q24 vs. 4Q23
Total assets,"849,482","885,653","908,307","927,053","978,799","849,482","978,799",15.2%,5.6%,15.2%
Deposits from customers,"454,661","467,372","496,021","514,417","565,055","454,661","565,055",24.3%,9.8%,24.3%
Credit growth1,19.2%,6.4%,11.6%,17.4%,20.8%,19.2%,20.8%,+161 bps,+350 bps,+161 bps
CASA,39.9%,41.7%,39.2%,38.9%,40.9%,39.9%,40.9%,+95 bps,+193 bps,+95 bps
NPL,1.19%,1.17%,1.28%,1.35%,1.17%,1.2%,1.2%,-2 bps,-17 bps,-2 bps
Credit costs (LTM),0.8%,0.9%,1.1%,1.0%,0.8%,0.8%,0.8%,-5 bps,-26 bps,-5 bps
Coverage ratio,102.1%,105.9%,101.0%,103.4%,113.8%,102.1%,113.8%,"+1,177 bps","+1,043 bps","+1,177 bps"
Capital and liquidity,4Q23,1Q24,2Q24,3Q24,4Q24,FY23,FY24,FY24 vs. FY23,4Q24 vs. 3Q24,4Q24 vs. 4Q23
Basel II CAR,14.3%,14.2%,14.5%,15.1%,15.3%,14.3%,15.3%,+92 bps,+19 bps,+92 bps
Basel II Tier 1 ratio,13.9%,13.8%,14.2%,14.6%,14.6%,13.9%,14.6%,+69 bps,+7 bps,+69 bps
Total Risk Weighted Assets,"931,219","986,115","965,343","978,341","994,771","931,219","994,771",6.8%,1.7%,6.8%
ST fundings to MLT loans2,26.4%,25.1%,24.2%,24.2%,26.5%,26.4%,26.5%,+10 bps,+230 bps,+10 bps
LDR2,77.4%,78.5%,79.6%,82.2%,77.1%,77.4%,77.1%,-30 bps,-510 bps,-30 bps
Profitability (VND Bn),4Q23,1Q24,2Q24,3Q24,4Q24,FY23,FY24,FY24 vs. FY23,4Q24 vs 3Q24,4Q24 vs 4Q23
Net interest income,"7,597","8,500","9,478","8,929","8,602","27,691","35,508",28.2%,-3.7%,13.2%
Non-interest income,"3,420","3,762","3,942","2,826",953,"12,370","11,482",-7.2%,-66.3%,-72.1%
Total operating income,"11,017","12,262","13,420","11,754","9,555","40,061","46,990",17.3%,-18.7%,-13.3%
Operating expenses,"(3,610)","(3,249)","(3,949)","(3,431)","(4,741)","(13,252)","(15,370)",16.0%,38.2%,31.3%
Profit before tax,"5,773","7,802","7,827","7,214","4,696","22,888","27,538",20.3%,-34.9%,-18.7%
NFI/TOI3,28.7%,23.0%,23.3%,21.9%,24.8%,26.0%,23.2%,-276 bps,+291 bps,-383 bps
CIR,32.8%,26.5%,29.4%,29.2%,49.6%,33.1%,32.7%,-37 bps,"+2,043 bps","+1,685 bps"
ROA (LTM),2.4%,2.5%,2.6%,2.6%,2.4%,2.4%,2.4%,-1 bps,-23 bps,-1 bps
ROE (LTM),14.8%,15.6%,16.5%,16.8%,15.5%,14.8%,15.5%,+70 bps,-125 bps,+70 bps
NIM (LTM),4.0%,4.1%,4.3%,4.3%,4.2%,4.0%,4.2%,+20 bps,-11 bps,+20 bps
Cost of funds,4.2%,3.4%,3.2%,3.4%,3.4%,4.9%,3.3%,-153 bps,+5 bps,-76 bps
